Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
MAS,2017-07-27,38.29,39.2654401336,0.0254750622523,64.0,3,1,0.782302541232,76.4641485429,0.201573863181,0.057811,Industrials
MAT,2017-04-27,21.3,17.9132795976,-0.159000957859,63.0,3,1,0.872804138621,142.812414356,0.155149280433,0.033648,Consumer Discretionary
MCD,2017-05-08,156.95,153.430560023,-0.0224239565302,64.0,4,1,0.960060191325,379.593401292,0.147165636951,0.592931,Consumer Discretionary
MCHP,2017-05-30,80.93,101.343205599,0.252232862955,64.0,2,0,0.922113285812,373.933545932,0.116446300342,0.089863,Information Technology
MCK,2017-07-27,162.53,263.924416565,0.623850468006,64.0,2,1,0.950700315347,608.449320296,0.151956104088,0.164509,Health Care
MCO,2017-07-27,131.89,152.64034081,0.157330660478,64.0,2,1,0.927620240665,404.704541844,0.160603361798,0.100036,Financials
MDLZ,2017-05-03,44.24,40.7545518997,-0.0787849932245,62.0,7,1,0.846735239353,49.1434399461,0.159996574312,0.315197,Consumer Staples
MDT,2017-06-27,84.68,93.7003158594,0.106522388514,64.0,2,1,0.64293313024,57.7187698376,0.193582931195,0.552606,Health Care
MET,2017-05-05,55.04,55.1183349053,0.00142323592394,63.0,2,1,0.784672126217,113.966498416,0.143910897637,0.279673,Financials
MHK,2017-05-05,238.34,244.746111166,0.0268780362757,60.0,3,1,0.879101763768,144.004578834,0.178705393299,0.071576,Consumer Discretionary
MKC,2017-06-30,95.25,92.7689464774,-0.0260478060116,64.0,3,1,0.979959039463,1027.85396692,0.0762730378539,0.049557,Consumer Staples
